id,char,pinyin,pinyin_num,shengmu,yunmu,shengdiao,yinjie,source_index,other_pinyin,record_hint,coverage_tag,note
0001,啊,ā,a1,0,a,1,a,1915,á，ǎ，à,用户自主,核心覆盖,
0002,挨,āi,ai1,0,ai,1,ai,1916,ài,读 āi，不读 ài,核心覆盖,
0003,癌,ái,ai2,0,ai,2,ai,3425,,读 ái,核心覆盖,
0004,矮,ǎi,ai3,0,ai,3,ai,3074,,读 ǎi,核心覆盖,
0005,爱,ài,ai4,0,ai,4,ai,2876,,读 ài,核心覆盖,
0006,安,ān,an1,0,an,1,an,549,,读 ān,核心覆盖,
0007,俺,ǎn,an3,0,an,3,an,1958,,读 ǎn,核心覆盖,
0008,暗,àn,an4,0,an,4,an,2909,,读 àn,核心覆盖,
0009,肮（肮脏）,āng,ang1,0,ang,1,ang,1187,,读 āng,缺口替代,常用度较低，作组合覆盖用
0010,昂,áng,ang2,0,ang,2,ang,1090,,读 áng,核心覆盖,
0011,凹,āo,ao1,0,ao,1,ao,260,,读 āo,核心覆盖,
0012,熬,áo,ao2,0,ao,2,ao,3053,āo,读 áo，不读 āo,核心覆盖,
0013,袄（棉袄）,ǎo,ao3,0,ao,3,ao,1709,,读 ǎo,缺口替代,常用度较低，作组合覆盖用
0014,傲,ào,ao4,0,ao,4,ao,2690,,读 ào,核心覆盖,
0015,阿（阿胶）,ē,e1,0,e,1,e,913,ā,读 ē，不读 ā,缺口替代,常用度较低，作组合覆盖用
0016,鹅,é,e2,0,e,2,e,2674,,读 é,核心覆盖,
0017,恶（恶心）,ě,e3,0,e,3,e,1829,è，wù,读 ě，不读 è、wù,缺口替代,常用度较低，作组合覆盖用
0018,饿,è,e4,0,e,4,e,2012,,读 è,核心覆盖,
0019,恩,ēn,en1,0,en,1,en,1909,,读 ēn,核心覆盖,
0020,而,ér,er2,0,er,2,er,392,,读 ér,核心覆盖,
0021,耳,ěr,er3,0,er,3,er,369,,读 ěr,核心覆盖,
0022,二,èr,er4,0,er,4,er,3,,读 èr,核心覆盖,
0023,一,yī,yi1,0,i,1,yi,1,,读 yī,核心覆盖,
0024,姨,yí,yi2,0,i,2,yi,1737,,读 yí,核心覆盖,
0025,以,yǐ,yi3,0,i,3,yi,182,,读 yǐ,核心覆盖,
0026,意,yì,yi4,0,i,4,yi,2996,,读 yì,核心覆盖,
0027,压,yā,ya1,0,ia,1,ya,729,,读 yā,核心覆盖,
0028,牙,yá,ya2,0,ia,2,ya,102,,读 yá,核心覆盖,
0029,雅,yǎ,ya3,0,ia,3,ya,2600,,读 yǎ,核心覆盖,
0030,亚,yà,ya4,0,ia,4,ya,373,,读 yà,核心覆盖,
0031,烟,yān,yan1,0,ian,1,yan,1504,,读 yān,核心覆盖,
0032,研,yán,yan2,0,ian,2,yan,1446,,读 yán,核心覆盖,
0033,眼,yǎn,yan3,0,ian,3,yan,2263,,读 yǎn,核心覆盖,
0034,厌,yàn,yan4,0,ian,4,yan,386,,读 yàn,核心覆盖,
0035,央,yāng,yang1,0,iang,1,yang,249,,读 yāng,核心覆盖,
0036,扬,yáng,yang2,0,iang,2,yang,368,,读 yáng,核心覆盖,
0037,养,yǎng,yang3,0,iang,3,yang,473,,读 yǎng,核心覆盖,
0038,样,yàng,yang4,0,iang,4,yang,1849,,读 yàng,核心覆盖,
0039,腰,yāo,yao1,0,iao,1,yao,2969,,读 yāo,核心覆盖,
0040,摇,yáo,yao2,0,iao,2,yao,2841,,读 yáo,核心覆盖,
0041,咬,yǎo,yao3,0,iao,3,yao,1512,,读 yǎo,核心覆盖,
0042,药,yào,yao4,0,iao,4,yao,1423,,读 yào,核心覆盖,
0043,椰,yē,ye1,0,ie,1,ye,2565,,读 yē,核心覆盖,
0044,爷,yé,ye2,0,ie,2,ye,492,,读 yé,核心覆盖,
0045,也,yě,ye3,0,ie,3,ye,66,,读 yě,核心覆盖,
0046,夜,yè,ye4,0,ie,4,ye,1209,,读 yè,核心覆盖,
0047,因,yīn,yin1,0,in,1,yin,430,,读 yīn,核心覆盖,
0048,银,yín,yin2,0,in,2,yin,2309,,读 yín,核心覆盖,
0049,隐,yǐn,yin3,0,in,3,yin,2480,,读 yǐn,核心覆盖,
0050,印,yìn,yin4,0,in,4,yin,285,,读 yìn,核心覆盖,
0051,英,yīng,ying1,0,ing,1,ying,1006,,读 yīng,核心覆盖,
0052,营,yíng,ying2,0,ing,2,ying,2214,,读 yíng,核心覆盖,
0053,影,yǐng,ying3,0,ing,3,ying,3240,,读 yǐng,核心覆盖,
0054,硬,yìng,ying4,0,ing,4,ying,2589,,读 yìng,核心覆盖,
0055,拥,yōng,yong1,0,iong,1,yong,974,,读 yōng,核心覆盖,
0056,泳,yǒng,yong3,0,iong,3,yong,1257,,读 yǒng,核心覆盖,
0057,用,yòng,yong4,0,iong,4,yong,283,,读 yòng,核心覆盖,
0058,优,yōu,you1,0,iou,1,you,461,,读 yōu,核心覆盖,
